,name,proximal_neighborhood,map_neighborhood,lat,lng,distance,neighborhood,categories,address,labeledLatLngs,postalCode,cc,city,state,country,formattedAddress,crossStreet,id
3,The Garage,,,40.88216467197872,-73.82759319234759,2515,Fieldston,Nightclub,2260 Tilloton Ave,"[{'label': 'display', 'lat': 40.88216467197872, 'lng': -73.82759319234759}, {'label': 'entrance', 'lat': 40.882219, 'lng': -73.82758}]",,US,Bronx,NY,United States,"['2260 Tilloton Ave', 'Bronx, NY', 'United States']",,
4,Masion Night Club,,,40.9087956,-73.8330844,3708,Riverdale,Music Venue,,"[{'label': 'display', 'lat': 40.9087956, 'lng': -73.8330844}]",,US,Mount Vernon,NY,United States,"['Mount Vernon, NY', 'United States']",,
0,XL NEW YORK Nightclub,,,40.879381,-73.824627,1681,Wakefield,,,"[{'label': 'display', 'lat': 40.879381, 'lng': -73.824627}]",,US,Bronx,NY,United States,"['Bronx, NY', 'United States']",,
1,Kokonuts Nightclub,,,40.84173583984375,-73.84170532226562,2840,Co-op City,Nightclub,1332 Blondell Ave,"[{'label': 'entrance', 'lat': 40.841677, 'lng': -73.841853}, {'label': 'display', 'lat': 40.84173583984375, 'lng': -73.84170532226562}]",10461,US,Bronx,NY,United States,"['1332 Blondell Ave', 'Bronx, NY 10461', 'United States']",,
2,Oasis HQ NightClub,,,40.89181900024414,-73.85859680175781,3376,Eastchester,Nightclub,4137 White Plains Rd,"[{'label': 'display', 'lat': 40.89181900024414, 'lng': -73.85859680175781}]",10466,US,Bronx,NY,United States,"['4137 White Plains Rd', 'Bronx, NY 10466', 'United States']",,
3,The Garage,,,40.88216467197872,-73.82759319234759,1838,Fieldston,Nightclub,2260 Tilloton Ave,"[{'label': 'display', 'lat': 40.88216467197872, 'lng': -73.82759319234759}, {'label': 'entrance', 'lat': 40.882219, 'lng': -73.82758}]",,US,Bronx,NY,United States,"['2260 Tilloton Ave', 'Bronx, NY', 'United States']",,
4,Xpressions Night Club,,,40.87916325424417,-73.84338110156192,1511,Riverdale,Bar,3601 Boston Rd,"[{'label': 'display', 'lat': 40.87916325424417, 'lng': -73.84338110156192}]",10466,US,Bronx,NY,United States,"['3601 Boston Rd (at 222nd)', 'Bronx, NY 10466', 'United States']",at 222nd,
0,Kokonuts Nightclub,,,40.84173583984375,-73.84170532226562,2062,Wakefield,Nightclub,1332 Blondell Ave,"[{'label': 'entrance', 'lat': 40.841677, 'lng': -73.841853}, {'label': 'display', 'lat': 40.84173583984375, 'lng': -73.84170532226562}]",10461,US,Bronx,NY,United States,"['1332 Blondell Ave', 'Bronx, NY 10461', 'United States']",,
1,XL NEW YORK Nightclub,,,40.879381,-73.824627,3523,Co-op City,,,"[{'label': 'display', 'lat': 40.879381, 'lng': -73.824627}]",,US,Bronx,NY,United States,"['Bronx, NY', 'United States']",,
2,Tropicana Theatere & Lounge,,,40.83740441148761,-73.87792219453874,2960,Eastchester,Lounge,1060 Home St,"[{'label': 'display', 'lat': 40.83740441148761, 'lng': -73.87792219453874}]",10459,US,Bronx,NY,United States,"['1060 Home St (Westchester Ave)', 'Bronx, NY 10459', 'United States']",Westchester Ave,
3,Xpressions Night Club,,,40.87916325424417,-73.84338110156192,2603,Fieldston,Bar,3601 Boston Rd,"[{'label': 'display', 'lat': 40.87916325424417, 'lng': -73.84338110156192}]",10466,US,Bronx,NY,United States,"['3601 Boston Rd (at 222nd)', 'Bronx, NY 10466', 'United States']",at 222nd,
0,Tantra Nightclub & Lounge,,,40.868988244852254,-73.91725842509227,2675,Wakefield,Nightclub,10th Ave & 4th St SW,"[{'label': 'display', 'lat': 40.868988244852254, 'lng': -73.91725842509227}]",,US,Calgary,NY,United States,"['10th Ave & 4th St SW', 'Calgary, NY', 'United States']",,
1,Oasis HQ NightClub,,,40.89181900024414,-73.85859680175781,3306,Co-op City,Nightclub,4137 White Plains Rd,"[{'label': 'display', 'lat': 40.89181900024414, 'lng': -73.85859680175781}]",10466,US,Bronx,NY,United States,"['4137 White Plains Rd', 'Bronx, NY 10466', 'United States']",,
2,Luna Night Club & Lounge,,,40.846210181854474,-73.90124081292899,2979,Eastchester,Nightclub,1834 Webster Ave,"[{'label': 'display', 'lat': 40.846210181854474, 'lng': -73.90124081292899}]",10457,US,Bronx,NY,United States,"['1834 Webster Ave', 'Bronx, NY 10457', 'United States']",,
3,Tahbu Night Club,,,40.86130513100488,-73.91314201419885,2527,Fieldston,Nightclub,,"[{'label': 'display', 'lat': 40.86130513100488, 'lng': -73.91314201419885}]",10468,US,Bronx,NY,United States,"['Bronx, NY 10468', 'United States']",,
